id;parameter_type;description;display_value;last_modified;last_modified_by;created_by;created_on;is_deleted
1;EXECUTIVE_TITLE;Ameliorated methodologies;systematic optical management;2022-08-09T19:05:39;Architect;microchip Bedfordshire Checking;2022-08-09T16:59:34;true
2;MEASURING_UNIT;overriding Aruban;navigating;2022-08-09T12:57:45;Borders;Checking;2022-08-09T23:16:26;false
3;EXECUTIVE_TITLE;deliverables Technician;Versatile ROI;2022-08-10T00:18:38;Berkshire Card;cross-platform;2022-08-10T02:56:01;false
4;RELIGION;deposit;Credit;2022-08-09T23:02:56;Cotton;sticky Beauty;2022-08-09T18:24:16;false
5;ACCOUNT;Metal PCI Focused;back-end vertical;2022-08-09T12:26:41;Sleek Hat;web-enabled optimal;2022-08-09T15:37:47;false
6;ACCOUNT;parse;Shirt copying;2022-08-09T05:32:29;New;Connecticut Customizable;2022-08-10T01:21:53;true
7;ACCOUNT;Avon Arizona;infrastructures ROI;2022-08-09T17:43:58;24/365 Reactive;York;2022-08-10T04:13:22;false
8;RESOLUTION;Practical;Liaison Florida;2022-08-09T16:16:03;lime Tasty;Incredible;2022-08-09T21:59:51;true
9;BELONGING;Markets;Interactions deposit;2022-08-09T22:28:15;Road navigating Manat;Eritrea indigo integrated;2022-08-09T11:04:03;true
10;BELONGING;virtual Licensed turquoise;Beauty;2022-08-10T01:34:29;Borders TCP Spain;Ergonomic Fields;2022-08-10T04:55:22;false
