id;permission_name;description;last_modified;last_modified_by
1;Chips Product;Grocery empower;2022-08-09T13:41:13;Berkshire
2;backing Plastic Associate;payment;2022-08-09T08:57:16;Guarani
3;payment Steel Re-engineered;generate back Pants;2022-08-09T23:10:17;Cambridgeshire Carolina
4;invoice;Health;2022-08-09T12:18:07;Computer Legacy
5;Stravenue transmitter e-commerce;Fish optimize streamline;2022-08-09T19:49:33;pink Dollar syndicate
6;silver payment;digital Executive;2022-08-09T20:54:17;Business-focused Michigan
7;Streets Web;Investment;2022-08-10T01:07:56;Avon Shirt Fresh
8;Ergonomic Rhode Crest;Granite;2022-08-10T00:18:24;RAM programming pixel
9;Illinois Implemented;Computers Manager;2022-08-09T23:45:12;Louisiana
10;Automotive;Sports Concrete;2022-08-09T13:39:25;Producer 24/7 California
